x,y,s0_shoulder_pan_joint,s0_shoulder_lift_joint,s0_elbow_joint,s0_wrist_1_joint,s0_wrist_2_joint,s0_wrist_3_joint,s1_shoulder_pan_joint,s1_shoulder_lift_joint,s1_elbow_joint,s1_wrist_1_joint,s1_wrist_2_joint,s1_wrist_3_joint,s2_shoulder_pan_joint,s2_shoulder_lift_joint,s2_elbow_joint,s2_wrist_1_joint,s2_wrist_2_joint,s2_wrist_3_joint,s3_shoulder_pan_joint,s3_shoulder_lift_joint,s3_elbow_joint,s3_wrist_1_joint,s3_wrist_2_joint,s3_wrist_3_joint,s4_shoulder_pan_joint,s4_shoulder_lift_joint,s4_elbow_joint,s4_wrist_1_joint,s4_wrist_2_joint,s4_wrist_3_joint,s5_shoulder_pan_joint,s5_shoulder_lift_joint,s5_elbow_joint,s5_wrist_1_joint,s5_wrist_2_joint,s5_wrist_3_joint
0.35,-0.12,-3.1033286298262306,-1.2183084339631784,-1.9342220955466911,-1.5598584663197663,1.5707960865796267,-1.532532240555371,-3.103332335830305,-1.2323748749781327,-2.0791159686913923,-1.4008981521592212,1.5707960865795687,-1.532535946559445,-3.103332335865959,-1.2750250698376813,-2.2097386846535745,-1.2276252413374902,1.5707960865795687,-1.5325359465950992,-3.1033323359016136,-1.3533859242325605,-2.324557440822706,-1.0344456307734793,1.5707960865795687,-1.5325359466307535,-3.1033323359372678,-1.4755088962189071,-2.4201102038229436,-0.8167698957868952,1.5707960865795687,-1.5325359466664077,-3.103332335972922,-1.646771882268929,-2.490911317355671,-0.5747057962041461,1.5707960865795687,-1.532535946702062
0.42,-0.12,-3.1097759660766506,-1.3928878479924809,-1.8092001138677754,-1.5103010330196367,1.5707960846450106,-1.538979576805791,-3.1097759593098933,-1.413514314467204,-1.946992691269384,-1.3518819891433067,1.5707960846450106,-1.5389795700390339,-3.1097759593394776,-1.459957687306051,-2.0680598183090826,-1.1843714892647614,1.5707960846450106,-1.538979570068618,-3.109775959369062,-1.5358010994510813,-2.171303940466392,-1.0052839549624215,1.5707960846450106,-1.5389795700982023,-3.1097759593986463,-1.6440891653423435,-2.2542862344409778,-0.8140135950965737,1.5707960846450106,-1.5389795701277866,-3.1097759594282306,-1.7853081142779503,-2.31358782364954,-0.6134930569524042,1.5707960846450106,-1.5389795701573707
0.49,-0.12,-3.114355668437318,-1.5609843548517561,-1.6581964525147228,-1.4932081873112952,1.5707960818414912,-1.543559279166458,-3.114355544640302,-1.5830505685439686,-1.7910968589780432,-1.3382415671557932,1.570796081841493,-1.5435591553694423,-3.114355544665595,-1.6281288164304204,-1.9051509940654119,-1.1791091841819727,1.570796081841493,-1.5435591553947356,-3.1143555446908877,-1.6975635283901243,-2.0000571026806364,-1.0147683636070446,1.570796081841493,-1.543559155420028,-3.1143555447161804,-1.7920536991437106,-2.074463153322382,-0.8458721422117123,1.570796081841493,-1.5435591554453207,-3.1143555447414735,-1.91063257141309,-2.1264327837381067,-0.6753236395266082,1.570796081841493,-1.5435591554706136
0.56,-0.12,-3.1177842333083623,-1.7264807296474123,-1.4796208758932485,-1.506287389520221,1.5707960781125587,-1.5469878440375022,-3.117779605103333,-1.7461951406789478,-1.6109831182329808,-1.3552107361501031,1.5707960781126276,-1.5469832158324728,-3.117779605125427,-1.7868915572311508,-1.7211751749190927,-1.204322262911788,1.5707960781126276,-1.546983215854567,-3.1177796051475215,-1.8484793065740996,-1.8109499379209564,-1.0529597505669759,1.5707960781126276,-1.5469832158766614,-3.117779605169616,-1.9305175965949208,-1.8799928117694473,-0.9018785866976637,1.5707960781126276,-1.5469832158987558,-3.11777960519171,-2.0316379345652913,-1.927446522023599,-0.7533045384731416,1.5707960781126276,-1.5469832159208503
0.35,-0.04,-2.8673239437723423,-1.1700320071302763,-1.9632597496652027,-1.579097292722342,1.5707961013759728,-1.296527554501477,-2.867323902753071,-1.1812111771253204,-2.110287885707623,-1.420889986684887,1.5707961013759757,-1.2965275134822052,-2.86732390279081,-1.221517376375432,-2.2437987834870943,-1.2470728896553038,1.5707961013759757,-1.2965275135199443,-2.8673239028285495,-1.2992587327369722,-2.3622500220575615,-1.0508802947232962,1.5707961013759757,-1.2965275135576837,-2.8673239028662887,-1.424550870215406,-2.461981564840593,-0.8258566144618308,1.5707961013759757,-1.2965275135954228,-2.8673239029040283,-1.6053853484991818,-2.5368722615143775,-0.5701314395042704,1.5707961013759757,-1.2965275136331624
0.42,-0.04,-2.915085153441646,-1.3548329882753904,-1.8391738207890838,-1.5183822297543108,1.5707960978883302,-1.3442887641707815,-2.9150851538840903,-1.3745080458602152,-1.9783904863338309,-1.359490506624739,1.5707960978883302,-1.3442887646132264,-2.9150851539148337,-1.4206614241642515,-2.1013818792616346,-1.1903457353928986,1.5707960978883302,-1.3442887646439705,-2.915085153945577,-1.4975356057812768,-2.206914798707271,-1.007938634330237,1.5707960978883302,-1.3442887646747141,-2.9150851539763205,-1.6089877554149263,-2.2923062512851744,-0.811095032118684,1.5707960978883302,-1.3442887647054576,-2.915085154007064,-1.7561497463683842,-2.3537313860637905,-0.6025079063866101,1.5707960978883302,-1.344288764736201
0.49,-0.04,-2.948468595881427,-1.5295307879279916,-1.6887770507909712,-1.4940811927295117,1.5707960951267135,-1.377672206610564,-2.9484685948109735,-1.5516431774130892,-1.8223836009440029,-1.3383622530913823,1.5707960951267135,-1.3776722055401105,-2.948468594836979,-1.5972554439921776,-1.9375408154124192,-1.1775927720438777,1.5707960951267135,-1.3776722055661164,-2.9484685948629847,-1.6680565003041181,-2.0337775211641564,-1.0105550099802,1.5707960951267135,-1.3776722055921222,-2.94846859488899,-1.76506391828143,-2.1095410563398604,-0.8377840568271842,1.5707960951267135,-1.3776722056181276,-2.948468594914996,-1.8874653334359246,-2.162652940500199,-0.6622707575123508,1.5707960951267135,-1.377672205644133
0.56,-0.04,-2.9731800248582627,-1.6991429970994814,-1.5111539610232514,-1.502092068093009,1.570796092413083,-1.4023836355873995,-2.973179919451885,-1.7194779183701487,-1.6424842208450412,-1.3504268870005764,1.570796092413088,-1.4023835301810217,-2.9731799194744495,-1.7610571697541753,-1.7530671538592302,-1.1982647026023612,1.570796092413088,-1.402383530203586,-2.9731799194970145,-1.8239935407203056,-1.8434648885868998,-1.0449305969085612,1.570796092413088,-1.4023835302261511,-2.973179919519579,-1.9079895250756802,-1.913191144255215,-0.8912083568848714,1.570796092413088,-1.4023835302487164,-2.9731799195421442,-2.011713034645151,-1.9612280965356679,-0.739447895034948,1.570796092413088,-1.4023835302712813
0.35,0.04,-2.6397401453531293,-1.1700323590983728,-1.9632606566116881,-1.5790960841426565,1.5707961199346248,-1.068943756082259,-2.63973989413426,-1.1812111907138982,-2.1102878648344863,-1.420890044304385,1.5707961199346547,-1.06894350486339,-2.639739894171999,-1.2215173880294568,-2.243798762895099,-1.2470729489282137,1.5707961199346547,-1.0689435049011293,-2.6397398942097388,-1.29925874115192,-2.362250001717037,-1.0508803569838119,1.5707961199346547,-1.0689435049388682,-2.639739894247478,-1.4245508733558692,-2.461981544968946,-0.8258566815279534,1.5707961199346547,-1.0689435049766076,-2.6397398942852175,-1.605385343901756,-2.5368722427243675,-0.5701315132266452,1.5707961199346547,-1.0689435050143465
0.42,0.04,-2.7251817463040693,-1.3548329994415178,-1.8391738023140962,-1.5183822794780426,1.5707961121323115,-1.1543853570332006,-2.7251817447427706,-1.3745080553572118,-1.978390467862162,-1.3594905580142833,1.5707961121323117,-1.154385355471902,-2.725181744773514,-1.4206614317776276,-2.101381861364783,-1.190345788091246,1.5707961121323117,-1.154385355502645,-2.725181744804257,-1.4975356108003577,-2.2069147814100196,-1.0079386890232793,1.5707961121323117,-1.1543853555333878,-2.7251817448350004,-1.608987756960317,-2.292306234780508,-0.8110950894928319,1.5707961121323117,-1.1543853555641312,-2.725181744865744,-1.7561497436387439,-2.3537313707294802,-0.6025079668654328,1.5707961121323117,-1.1543853555948753
